parent_asin,category,title,description,brand,price,average_rating,rating_count,review_text,search_text
B0B8KTRN25,Camera & Photo,MegaGear Ever Ready Genuine Leather Camera Half Case compatible with Fujifilm X-T200,"There are many cases out there and although some of them can accommodate a wide variety of cameras and models, the best ones are definitely those that have been made specifically for a certain model. The case is made of PU leather, which will keep your camera safe from dust and falls. Its interior is lined with a really soft fabric, which will ensure that the lens of your camera won't get scratched or damaged, while you're carrying it inside the case. If you see a photo opportunity, while your c",MegaGear,27.52,4.4,21,"I've been very happy with this case. It fits great and  meets my expectations! Love it! A great fit, and easy to install. $30 is a steal for real leather, and it matches the brown MegaGear camera bag I bought perfect. It comes with a whole camera strap which I wasn’t expecting, ","Category: Camera & Photo | Brand: MegaGear | Product: MegaGear Ever Ready Genuine Leather Camera Half Case compatible with Fujifilm X-T200 | Description: There are many cases out there and although some of them can accommodate a wide variety of cameras and models, the best ones are definitely those that have been made specifically for a certain model. The case is made of PU leather, which will keep your camera safe from dust and falls. Its interior i | Price: $27.52"
B0C16KCJ57,,"CreaDream Acrylic Tablet Stand Holder with 360 Rotating Base, Foldable Adjustable Transparent Tablet Holder for Desk Home Office, Compatible with iPad Pro Air Mini and More, Clear",,CreaDream,18.39,4.4,53,"I'm always looking for a way to reduce clutter on my desk, and this tablet stand looked like it would be great for getting my portable monitor off the desk. It works great! It lifts the monitor about ","Category: nan | Brand: CreaDream | Product: CreaDream Acrylic Tablet Stand Holder with 360 Rotating Base, Foldable Adjustable Transparent Tablet Holder for Desk Home Office, Compatible with iPad Pro Air Mini and More, Clear | Description:  | Price: $18.39"
B086X6CVGN,Office Products,Embossing Label Tape Compatible for Dymo 3/8 Embossing Label Maker 3D Plastic Labels for Dymo Organizer Xpress 12965 DYM 12966 Office Mate II （White on Black/Red/Blue）5-Pack,,BEYONDTEK,11.99,4.3,84,worked very well. The best label makers They measure 1/128” and are too thin to work with my Dymo 1700 label maker. The original Dymo label rolls are 1/64” thick. The tape will not advance consistently. Only advances about 20% of the time c Labeling parts in my shop.,Category: Office Products | Brand: BEYONDTEK | Product: Embossing Label Tape Compatible for Dymo 3/8 Embossing Label Maker 3D Plastic Labels for Dymo Organizer Xpress 12965 DYM 12966 Office Mate II （White on Black/Red/Blue）5-Pack | Description:  | Price: $11.99
B08H5F47PB,Camera & Photo,Anbee Portable Carrying Case Hard EVA Travel Storage Bag for Insta360 ONE R Action Camera and Accessories,Anbee Compact Carrying Case Hard EVA Travel Storage Bag for Insta360 ONE R Action Camera and Accessories,Anbee,15.99,4.4,4,"This little case seems fairly sturdy and the zipper seems decent.  However, the pre-formed pockets for the camera and accessories need some improvement.  First, the camera with frame attached only fit Small, compact, fitted so that things don’t slide, another reviewer stated that the 360 lens with the silicone lens cover didn’t fit, I had no issues with that and that includes that my 360 camera has",Category: Camera & Photo | Brand: Anbee | Product: Anbee Portable Carrying Case Hard EVA Travel Storage Bag for Insta360 ONE R Action Camera and Accessories | Description: Anbee Compact Carrying Case Hard EVA Travel Storage Bag for Insta360 ONE R Action Camera and Accessories | Price: $15.99
B06XDL9FCR,All Electronics,ABLEGRID AC/DC Adapter for CEN TECH 5 in 1 Portable Power Pack # 60703 Jump Starter Power Supply Cord,ABLEGRID AC / DC Adapter For CEN TECH 5 IN 1 Portable Power Pack # 60703 Jump Starter Power Supply Cord Cable PS Wall Home Battery Charger Mains PSU,ABLEGRID,14.54,1.0,1,Did not work properly.,Category: All Electronics | Brand: ABLEGRID | Product: ABLEGRID AC/DC Adapter for CEN TECH 5 in 1 Portable Power Pack # 60703 Jump Starter Power Supply Cord | Description: ABLEGRID AC / DC Adapter For CEN TECH 5 IN 1 Portable Power Pack # 60703 Jump Starter Power Supply Cord Cable PS Wall Home Battery Charger Mains PSU | Price: $14.54
B09KZP78DN,Toys & Games,"BUAUA En-canto Happy Birthday Backdrop,5x3FT Birthday Party Decorations Banner Yard Sign,Kid's Birthday Party Supplies Decoration","The Happy Birthday Banner suitable for bedroom, living room as a tapestry. Also can use as a cake table cloth.Great blanket for sofa, beach, grass as cover. Perfect festival or birthday experience for your lovely kids, families, and friends. Packaging Including:1x Happy Birthday Banner,1x Ribbon Size: 5 x 3 FT/150 x 100 cm Material: Polyester Notes: Manual measurement, please allow slight errors on size. The colors may exist slight difference due to different screens. please iron the back side (",BUAUA,8.96,4.8,423,"Must Buy. Great product. Better then expected. I bought this last minute. It is so well made!! It's not cheap plastic. It's some type of fabric, so it won't tear or rip easily like the plastic types. We love it! Very well made, love the picture so clear. Very well made.<br />Not sure what they meant with easy to inflate, so didn't give no star.<br />But I soooo recommend this. My granddaughter birthday is nex Banner is very vibrant. Colors are perfect and the images are clear . Plus the banner is made of cloth not plastic. So it can be saved or even hung up on the wall. Plus comes with holes and string to  It was a nice decoration for the party now she hangs it on her wall for a poster .","Category: Toys & Games | Brand: BUAUA | Product: BUAUA En-canto Happy Birthday Backdrop,5x3FT Birthday Party Decorations Banner Yard Sign,Kid's Birthday Party Supplies Decoration | Description: The Happy Birthday Banner suitable for bedroom, living room as a tapestry. Also can use as a cake table cloth.Great blanket for sofa, beach, grass as cover. Perfect festival or birthday experience for your lovely kids, families, and friends. Packaging Including:1x Happy Birthday Banner,1x Ribbon Siz | Price: $8.96"
B0B87LBRT9,All Electronics,"Backlit Bluetooth Keyboard and Mouse for iOS System, Wireless Rechargeable Mini Keyboard and Mice with 7 Colors Backlight Compatible with iPad, iPhone, White Silver",Dimension of the Keyboard: 26.5*12.5*2 CM,Generic,20.99,3.3,10,"[[VIDEOID:e460b9d219a215d5494a7089403a5f6d]] Was easy to set up on my phone,iPad and computer light weight love the color changing lights. Bluetooth works great easy set up instructions I have only ha I purchased this for my iPad 9th gen and works great definitely worth the price and easy to use love the different back light option","Category: All Electronics | Brand: Generic | Product: Backlit Bluetooth Keyboard and Mouse for iOS System, Wireless Rechargeable Mini Keyboard and Mice with 7 Colors Backlight Compatible with iPad, iPhone, White Silver | Description: Dimension of the Keyboard: 26.5*12.5*2 CM | Price: $20.99"
B07HHL8TXC,Tools & Home Improvement,"Dakar locking head Equivilent to TYD-LH or CSS-LH, Weather Resistant Acetel, Black, 25 Pcs",,Dakar,12.0,4.7,18,"Now that DelTec's patent is dead, we finally have a cheaper alternative. These replacement heads work just as well as the DelTec heads and are 1/2 the price. Works as designed at a fraction of the cost of the name brand They're buttons for straps. Working great These look and work identically to the T & B version for a cheaper price. nice product","Category: Tools & Home Improvement | Brand: Dakar | Product: Dakar locking head Equivilent to TYD-LH or CSS-LH, Weather Resistant Acetel, Black, 25 Pcs | Description:  | Price: $12.00"
B013ZXNF1E,Cell Phones & Accessories,Adjustable Chest Body Harness Belt Strap Mount For Sony action cam HDR-AS100v AS30V AEE AS15 AS30 GoPro Hero 4 3+ 3 2 1 SJ1000 Sports Action Cam Camera Accessory,"Description: Color: Black  Material: Elastic band + ABS  Max Load: 0.8 kg  Weight:about 230g Compatiable for: 1. Sony action cam HDR-AS100V AS30V AS15V  2. GoPro Hero 3+ 3, 2  3.SUPTig sports DV,  4.Other Action Camera with the standard 1/4'' screw hole Package Include: 1 x Adjustable Chest Body Blet Strap Mount for Sony Action Cam.  1 x Release Plate for Sony Action Cam.  1 x J-hook Surface Quick Release Buckle for Sony Action Cam.  1 x Long Screw Bolt for Sony Action Cam.  Not Retail Package",EPALER,9.99,4.1,63,works pretty good for simple recording. I used it while mountain biking. Your quality will depend on your camera but this did a pretty good job of mounting my sony action cam. Great harness at an incredible price. I use this to record my surf fishing adventures for YouTube. The straps are comfortable. The harness fits my large frame 6'1&#34; 250 with ease. Will not hesitate lo volvería a comprar Its good for what it is Works perfectly with my AEE Lyfe Shadow 4K Action Camera. Mounts securely.<br />Great inexpensive buy.<br />I got the camera and strap to record my husky without spending a lot.,"Category: Cell Phones & Accessories | Brand: EPALER | Product: Adjustable Chest Body Harness Belt Strap Mount For Sony action cam HDR-AS100v AS30V AEE AS15 AS30 GoPro Hero 4 3+ 3 2 1 SJ1000 Sports Action Cam Camera Accessory | Description: Description: Color: Black  Material: Elastic band + ABS  Max Load: 0.8 kg  Weight:about 230g Compatiable for: 1. Sony action cam HDR-AS100V AS30V AS15V  2. GoPro Hero 3+ 3, 2  3.SUPTig sports DV,  4.Other Action Camera with the standard 1/4'' screw hole Package Include: 1 x Adjustable Chest Body Ble | Price: $9.99"
B072PZWS5P,All Electronics,Accessory USA AC Adapter for iON iDM02 24-Bit Stereo Digital Drum Machine Power Supply Cord,Accessory USA AC Adapter For iON iDM02 24-Bit Stereo Digital Drum Machine Power Supply Cord,Accessory USA,22.89,3.9,6,This fit my son's older model electronic drum set. The description given is very accurate.,Category: All Electronics | Brand: Accessory USA | Product: Accessory USA AC Adapter for iON iDM02 24-Bit Stereo Digital Drum Machine Power Supply Cord | Description: Accessory USA AC Adapter For iON iDM02 24-Bit Stereo Digital Drum Machine Power Supply Cord | Price: $22.89
